#             x               y               z             U_x             U_y             U_z               p
           0.35          -0.086           0.058     -0.25398326   -0.0035766372     0.094177863     -0.15525113
           0.35          -0.086           0.062     -0.29131567    -0.005319656     0.090961149     -0.15541216
           0.35          -0.086           0.066     -0.32660413   -0.0076271744     0.086590594     -0.15517885
           0.35          -0.086            0.07     -0.35938656    -0.010261281     0.081140494      -0.1545067
           0.35          -0.086           0.074     -0.38914046    -0.013009776     0.074625888     -0.15337785
           0.35          -0.086           0.078     -0.41522134    -0.015732734     0.066981362     -0.15182274
           0.35          -0.086           0.082     -0.43681554    -0.018415715      0.05807243     -0.14990871
           0.35          -0.086           0.086     -0.45287034    -0.021283074     0.047639286      -0.1477589
           0.35          -0.086            0.09     -0.46205429    -0.024798791     0.035300348     -0.14543653
           0.35          -0.086           0.094     -0.46113557    -0.029635917     0.021538405     -0.14276995
           0.35          -0.086           0.098     -0.42750849    -0.031653726    0.0053222879      -0.1409581
           0.35          -0.082          -0.098     -0.42232163    -0.040662788   -0.0053503345     -0.13686728
           0.35          -0.082          -0.094     -0.45147538    -0.044463557    -0.018197865     -0.13853854
           0.35          -0.082           -0.09     -0.44900256    -0.044417624    -0.027441582     -0.14104039
           0.35          -0.082          -0.086      -0.4386363    -0.044396444    -0.035131939     -0.14316042
           0.35          -0.082          -0.082     -0.42379277    -0.044091013    -0.041154062     -0.14514115
           0.35          -0.082          -0.078     -0.40562955    -0.043194578    -0.046054479     -0.14696505
           0.35          -0.082          -0.074     -0.38491259    -0.041550301    -0.050143472     -0.14857632
           0.35          -0.082           -0.07     -0.36217915    -0.039173065    -0.053627709     -0.14991441
           0.35          -0.082          -0.066     -0.33778403    -0.036181065    -0.056631309     -0.15094193
           0.35          -0.082          -0.062     -0.31193607    -0.032762293    -0.059215442      -0.1516478
           0.35          -0.082          -0.058     -0.28473921    -0.029148304    -0.061393559     -0.15204005
           0.35          -0.082          -0.054     -0.25621789    -0.025594221    -0.063133215      -0.1521415
           0.35          -0.082           -0.05     -0.22634569    -0.022362363    -0.064359929     -0.15198879
           0.35          -0.082          -0.046      -0.1950758    -0.019704188    -0.064971685     -0.15163039
           0.35          -0.082          -0.042     -0.16238089    -0.017829434    -0.064856105     -0.15111829
           0.35          -0.082          -0.038     -0.12830214    -0.016871738    -0.063904481     -0.15049614
           0.35          -0.082          -0.034    -0.093001718     -0.01686358    -0.062013183     -0.14978926
