#             x               y               z             U_x             U_y             U_z               p
           0.35          -0.074          -0.026      0.22883975    -0.035502848    -0.049862479      -0.1413932
           0.35          -0.074          -0.022      0.26181556    -0.038521773    -0.043495365     -0.13996488
           0.35          -0.074          -0.018      0.28983764     -0.04138026    -0.035730477     -0.13870792
           0.35          -0.074          -0.014      0.31145511    -0.043675745    -0.026735764     -0.13777524
           0.35          -0.074           -0.01       0.3253087    -0.045112155    -0.016867771     -0.13723098
           0.35          -0.074          -0.006      0.33053446    -0.045515542   -0.0065392511     -0.13712229
           0.35          -0.074          -0.002      0.32689503    -0.044839996    0.0038008579     -0.13745944
           0.35          -0.074           0.002      0.31483442    -0.043175772     0.013716595       -0.138213
           0.35          -0.074           0.006       0.2953758     -0.04073934     0.022831079     -0.13932684
           0.35          -0.074            0.01       0.2698876    -0.037857722     0.030868032     -0.14070546
           0.35          -0.074           0.014      0.23964691    -0.034750742     0.037709243     -0.14223776
           0.35          -0.074           0.018      0.20580533    -0.031751363     0.043317605     -0.14384343
